"requirement_id","class","surface","operation","positive_test_id","forbidden_test_id","persisted_evidence","audit_evidence","migration_query","visual_reference","status"
"CAB-01","CONTRACT|USER-EXPANSION","all cabinet routes","ResolveNavigation","E2E-CAB-001","E2E-CAB-403","route registry + role-aware menu snapshot","AUD-CAB-001","N/A(not_applicable_to_requirement)","FND-01","specified"
"CAB-02","OUT-OF-SCOPE","cabinet shell","N/A(not_applicable_to_requirement)","DIFF-PUBLIC-001","E2E-CAB-NOSITE","path-scoped Git diff","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","FND-01","specified"
"AUTH-01","ENGINEERING-CONTROL","/cabinet/login","Login","E2E-AUTH-LOGIN-001","E2E-AUTH-LOGIN-NEG-001","session row/token hash","AUD-AUTH-LOGIN-001","N/A(not_applicable_to_requirement)","AUTH-01","specified"
"AUTH-02","ENGINEERING-CONTROL","/cabinet/mfa","EnrollMfa|VerifyMfa","E2E-AUTH-MFA-001","E2E-AUTH-MFA-NEG-001","mfa state + hashed recovery codes","AUD-AUTH-MFA-001","N/A(not_applicable_to_requirement)","AUTH-02","specified"
"AUTH-03","USER-EXPANSION|ENGINEERING-CONTROL","/cabinet/recovery","RequestPasswordReset|CompletePasswordReset","E2E-AUTH-RESET-001","E2E-AUTH-RESET-NEG-001","credential state + revoked sessions/tokens","AUD-AUTH-RESET-001","N/A(not_applicable_to_requirement)","AUTH-03","specified"
"SA-01","USER-EXPANSION","/cabinet/admin/users","ListUsers|InviteUser","E2E-SA-USERS-001","E2E-SA-USERS-403","user account + invite row","AUD-SA-INVITE-001","MIG-Q-USERS-001","ADM-01","specified"
"SA-02","USER-EXPANSION","/cabinet/admin/users/:id","EnableUser|DisableUser|ArchiveUser","E2E-SA-LIFECYCLE-001","E2E-SA-LIFECYCLE-NEG-001","account states + unresolved-owner outcome","AUD-SA-LIFECYCLE-001","MIG-Q-OWNERS-001","ADM-01|ADM-03","specified"
"SA-03","USER-EXPANSION|ENGINEERING-CONTROL","/cabinet/admin/users/:id?tab=roles","PreviewEffectiveAccess|AssignCrmRole|RevokeCrmRole|AssignProjectRole|RevokeProjectRole|AssignMigrationRole|RevokeMigrationRole|AssignAuditRole|RevokeAuditRole|AssignInitialCrmAdmin|AssignInitialProjectAdmin|AssignCrmAdminRole|AssignProjectAdminRole|RevokePlatformRole|RevokeCrmAdminRole|RevokeProjectAdminRole","E2E-SA-ROLE-001|E2E-BOOTSTRAP-CRM-ADMIN-001|E2E-BOOTSTRAP-PROJECT-ADMIN-001|E2E-ROLE-CRM-ADMIN-ADDITIONAL-001|E2E-ROLE-PROJECT-ADMIN-ADDITIONAL-001|E2E-ROLE-PLATFORM-ADMIN-REVOKE-001|E2E-ROLE-CRM-ADMIN-REVOKE-001|E2E-ROLE-PROJECT-ADMIN-REVOKE-001|E2E-ROLE-CRM-ORDINARY-REVOKE-001|E2E-ROLE-PROJECT-ORDINARY-REVOKE-001|E2E-ROLE-MIGRATION-REVOKE-001|E2E-ROLE-AUDIT-REVOKE-001","E2E-SA-ROLE-NEG-001","explicit role assignment/removal + policy version + before/after effective access + session recalculation","AUD-SA-ROLE-001","MIG-Q-ROLES-001","ADM-02","specified"
"SA-04","ENGINEERING-CONTROL","/cabinet/admin/users/:id?tab=roles","AssignPlatformRole|ExecuteCriticalOperation","E2E-SA-FOUREYES-001","E2E-SA-FOUREYES-NEG-001","approval request + role assignment","AUD-SA-FOUREYES-001","N/A(not_applicable_to_requirement)","ADM-02","specified"
"SA-05","USER-EXPANSION|ENGINEERING-CONTROL","/cabinet/admin/users/:id?tab=security","RequestAdminPasswordReset|ResetUserMfa|RevokeUserSessions","E2E-SA-SECURITY-001","E2E-SA-SECURITY-NEG-001","credential/mfa/session state","AUD-SA-SECURITY-001","N/A(not_applicable_to_requirement)","ADM-03|ADM-04","specified"
